[KGenerating Samples |#############################   | (236/256) Sample Time: 6.253s | Infer Batch: 41.0 | Total: 0:24:35 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 6.253s | Infer Batch: 41.0 | Total: 0:24:36 | ETA: 0:00:01
[KGenerating Samples |#############################   | (237/256) Sample Time: 6.234s | Infer Batch: 41.0 | Total: 0:24:37 | ETA: 0:00:01
[KGenerating Samples |#############################   | (237/256) Sample Time: 6.234s | Infer Batch: 41.0 | Total: 0:24:38 | ETA: 0:00:01
[KGenerating Samples |#############################   | (237/256) Sample Time: 6.234s | Infer Batch: 41.0 | Total: 0:24:39 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 6.218s | Infer Batch: 41.0 | Total: 0:24:40 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 6.218s | Infer Batch: 41.0 | Total: 0:24:41 | ETA: 0:00:01
[KGenerating Samples |#############################   | (238/256) Sample Time: 6.218s | Infer Batch: 41.0 | Total: 0:24:42 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:43 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:44 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:45 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:46 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:47 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:48 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:49 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:50 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 6.207s | Infer Batch: 41.0 | Total: 0:24:51 | ETA: 0:00:01
