[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:33 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:34 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:35 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:36 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:37 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:38 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:39 | ETA: 0:00:01
[KGenerating Samples |##############################  | (246/256) Sample Time: 10.326s | Infer Batch: 39.8 | Total: 0:42:40 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:41 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:42 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:43 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:44 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:45 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:46 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:47 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:48 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:49 | ETA: 0:00:01
[KGenerating Samples |##############################  | (247/256) Sample Time: 10.368s | Infer Batch: 39.8 | Total: 0:42:50 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:51 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:52 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:53 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:54 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:55 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:56 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:57 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:58 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:42:59 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:00 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:01 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:02 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:03 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:04 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:05 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:06 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:07 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:08 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:09 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:10 | ETA: 0:00:01
[KGenerating Samples |############################### | (248/256) Sample Time: 10.366s | Infer Batch: 39.8 | Total: 0:43:11 | ETA: 0:00:01
