[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:18 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:19 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:20 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:21 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:22 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.503s | Infer Batch: 44.0 | Total: 0:21:23 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:24 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:25 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:27 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:28 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:29 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:30 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:31 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:32 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:33 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:34 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:35 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:36 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:37 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.514s | Infer Batch: 44.0 | Total: 0:21:38 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:39 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:40 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:41 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:42 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:43 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:44 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:45 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.550s | Infer Batch: 44.0 | Total: 0:21:46 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:47 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:48 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:49 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:50 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:51 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:52 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:53 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:54 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:55 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:56 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:21:57 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.582s | Infer Batch: 44.0 | Total: 0:21:58 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.582s | Infer Batch: 44.0 | Total: 0:21:59 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.582s | Infer Batch: 44.0 | Total: 0:22:00 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.582s | Infer Batch: 44.0 | Total: 0:22:01 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.582s | Infer Batch: 44.0 | Total: 0:22:02 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.582s | Infer Batch: 44.0 | Total: 0:22:03 | ETA: 0:00:01
