[KGenerating Samples |#############################   | (238/256) Sample Time: 4.626s | Infer Batch: 41.5 | Total: 0:18:21 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 4.608s | Infer Batch: 41.5 | Total: 0:18:22 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 4.608s | Infer Batch: 41.5 | Total: 0:18:23 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:24 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:25 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:26 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:27 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:28 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:29 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:30 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:31 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:32 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 4.597s | Infer Batch: 41.5 | Total: 0:18:33 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 4.621s | Infer Batch: 41.5 | Total: 0:18:34 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 4.621s | Infer Batch: 41.5 | Total: 0:18:35 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 4.610s | Infer Batch: 41.5 | Total: 0:18:36 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 4.610s | Infer Batch: 41.5 | Total: 0:18:37 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 4.610s | Infer Batch: 41.5 | Total: 0:18:38 | ETA: 0:00:01
[KGenerating Samples |##############################  | (243/256) Sample Time: 4.605s | Infer Batch: 41.5 | Total: 0:18:39 | ETA: 0:00:01
[KGenerating Samples |##############################  | (243/256) Sample Time: 4.605s | Infer Batch: 41.5 | Total: 0:18:40 | ETA: 0:00:01
